DRS_ID,DistributionChannel,UserLanguage,geoid.county,Zone,Q1_0,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1a,Q2,Q3_0,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q4_0,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q6_0,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q7_0,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q7_10,Q7_11,Q7_12,Q8_0,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q9,Q10,Q12_0,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q13a,Q13b,Q13c,Q13d,Q13e,Q13f,Q13g,Q14,Q15,Q16,Q17_0,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q17_7,Q17_8,Q17_9,Q18,Q19a,Q19b,Q20,Q21,Q22,Q23,Q24_0,Q24_1,Q24_2,Q24_3,Q24_4,Q24_5,Q24_6,Q24_7,Q24_8,Q24_9,Q24_10,Q24_11,Q24_12,Q24_13,Q24_14,Q24_15,Q34,Q39,Q41a,Q41b,Q41c,Q41d,Q41e,Q41f,Q42a,Q42b,Q42c,Q42d,Q42e,Q42f,Q42g,Q42h,Q42i,Q43_0,Q43_1,Q43_2,Q43_3,Q43_4,Q43_5,Q43_6,Q43_7,Q43_9,Q43_10,Q43_11,WTFINAL,SEX_P,RACE_P,INCOME_P,AGE_P,ETHNICITY_P,EDU_P,HOMEOWNERSHIP_P,LANGUAGE_P
DRS2325,Mail,Spanish,<Erased>,3,<Decline to answer>,Yes,<Decline to answer>,<Decline to answer>,<Decline to answer>,No,51,Rural (outside of town),No,Yes,No,No,No,Yes,No,No,Yes,<I Dont know why the Delta is important>,<I Dont know why the Delta is important>,Yes,Yes,No,<I Dont know why the Delta is important>,<Decline to answer>,Yes,No,No,<Decline to answer>,No,No,Yes,<Decline to answer>,Yes,Yes,Yes,No,Yes,<Decline to answer>,Yes,<Decline to answer>,<Decline to answer>,No,<Decline to answer>,Yes,<Decline to answer>,<Decline to answer>,Yes,<Decline to answer>,<Decline to answer>,Yes,Yes,No,<Decline to answer>,<Decline to answer>,Dissatisfied,No,<Decline to answer>,No,<Decline to answer>,<Decline to answer>,Yes,No,No,<Unsure>,<Decline to answer>,Moderately concerned,Somewhat concerned,Somewhat concerned,Very concerned,Not at all concerned,No,Mostly due to other factors,by both human activities and natural changes in the environment,No,No,<Decline to answer>,Yes,<Decline to answer>,Yes,<Decline to answer>,<Decline to answer>,No,Yes,Yes. Please specify:,Somewhat disagree,Somewhat disagree,"Yes, I have personally experienced drought impacts. Please specify:",Doing too much,Not doing enough,<Decline to answer>,<Decline to answer>,Yes,No,<Decline to answer>,<Decline to answer>,Yes,<Decline to answer>,<Decline to answer>,<Decline to answer>,Yes,No,<Decline to answer>,No,Yes,<Decline to answer>,No,Very Liberal,No,Trust completely,Trust completely,<Decline to answer>,Trust only a little,Trust somewhat,Strongly distrust,NA,NA,Unsure,Very likely,Very likely,Somewhat likely,Somewhat unlikely,Very unlikely,<Decline to answer>,<Not applicable>,No,Yes,NA,No,<Not applicable>,<Not applicable>,No,<Not applicable>,No,<Not applicable>,0.6283023411830823,<Missing>,<Missing>,75K - <100K,65+,Not Hispanic/Latino,>BA/BS,Rented/Other,NA
DRS2326,Mail,Spanish,013,2,<Decline to answer>,<Decline to answer>,Yes,No,<Decline to answer>,<Decline to answer>,52,Urban,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,<Decline to answer>,No,<Decline to answer>,Yes,No,Yes,No,No,Yes,No,<Decline to answer>,Yes,No,<Decline to answer>,<Decline to answer>,<Decline to answer>,<Decline to answer>,<Decline to answer>,<Decline to answer>,<Decline to answer>,<Decline to answer>,No,<Decline to answer>,<Decline to answer>,No,No,<I don't know>,Very satisfied,<Decline to answer>,No,No,Yes,Yes,<Decline to answer>,<Decline to answer>,Yes,Moderately concerned,<Decline to answer>,<Unsure>,<Decline to answer>,Somewhat concerned,<Decline to answer>,Not at all concerned,Yes. Please specify:,<Decline to answer>,<Decline to answer>,No,No,Yes,<Decline to answer>,Yes,<Decline to answer>,No,No,No,<Decline to answer>,<Decline to answer>,Somewhat disagree,Somewhat disagree,<Decline to answer>,Not doing enough,Not doing enough,Doing too much,Yes,No,<Decline to answer>,<Decline to answer>,<Decline to answer>,Yes,<Decline to answer>,<Decline to answer>,No,No,Yes,Yes,<Decline to answer>,<Decline to answer>,No,Yes,Moderate,NA,Trust only a little,Trust only a little,Strongly distrust,Trust somewhat,Trust completely,Trust completely,NA,<Decline to answer>,Somewhat likely,NA,Very unlikely,Very unlikely,<Not applicable>,NA,<Decline to answer>,Yes,Yes,No,Yes,Yes,No,<Not applicable>,Yes,<Not applicable>,<Decline to answer>,Yes,0.13362874339517478,Female,<Missing>,50K - <75K,35-44,Not Hispanic/Latino,<BA/BS,Rented/Other,NA
DRS2327,Mail,English,095,3,Yes,<Decline to answer>,Yes,Yes,No,<Decline to answer>,82,Historic or Delta “legacy” town,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,<Decline to answer>,<Decline to answer>,Yes,Yes,<Decline to answer>,<Decline to answer>,No,<Decline to answer>,Yes,<Decline to answer>,No,No,No,Yes,<Decline to answer>,No,<Decline to answer>,<Decline to answer>,No,Yes,No,No,No,No,Yes,Yes,<Decline to answer>,<Decline to answer>,<Decline to answer>,No one advocates for my interests in the Delta,Very satisfied,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Not at all concerned,Moderately concerned,<Unsure>,Moderately concerned,Moderately concerned,<Unsure>,Moderately concerned,Yes. Please specify:,Entirely due to climate change,mostly by human activities,<Decline to answer>,No,<Decline to answer>,<Decline to answer>,Yes,<Decline to answer>,<Decline to answer>,Yes,<Decline to answer>,No,No,Strongly agree,Strongly disagree,"Yes, I have personally experienced drought impacts. Please specify:",<I don't know>,<I don't know>,Not doing enough,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,<Decline to answer>,Yes,Yes,Yes,Yes,<Decline to answer>,Very Liberal,No,Trust completely,Somewhat distrust,Trust completely,Trust only a little,<Not applicable>,Strongly distrust,NA,Somewhat likely,Very likely,Somewhat unlikely,<Not applicable>,NA,<Not applicable>,<Decline to answer>,Yes,<Decline to answer>,Yes,<Decline to answer>,NA,<Not applicable>,No,<Decline to answer>,No,NA,<Decline to answer>,<Not applicable>,0.08618766158005875,<Missing>,<Missing>,100K - <150K,55-64,Hispanic/Latino,BA/BS,Owned by you or someone else living there,NA
DRS2328,Online,English,<Erased>,2,Yes,Yes,<Decline to answer>,<Decline to answer>,No,<Decline to answer>,31,<I don't know>,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,<Decline to answer>,No,Yes,No,Yes,<Decline to answer>,No,<Decline to answer>,<Decline to answer>,No,No,<Decline to answer>,Yes,Yes,Yes,<Decline to answer>,<Decline to answer>,<Decline to answer>,Yes,<Decline to answer>,Yes,Yes,Yes,Yes,Yes,<Decline to answer>,Yes,Yes,<Decline to answer>,Very satisfied,<Decline to answer>,<Decline to answer>,Yes,<Decline to answer>,Yes,No,<Decline to answer>,Yes,Moderately concerned,<Decline to answer>,Not at all concerned,Somewhat concerned,Not at all concerned,Not at all concerned,<Unsure>,No,Entirely due to climate change,None of the above because climate change isn't happening,No,<Decline to answer>,No,<Decline to answer>,No,Yes,Yes,<Decline to answer>,No,No,<Decline to answer>,Somewhat disagree,Somewhat agree,<Decline to answer>,Doing too much,<Decline to answer>,Not doing enough,<Decline to answer>,Yes,Yes,No,<Decline to answer>,<Decline to answer>,Yes,No,<Decline to answer>,<Decline to answer>,No,Yes,<Decline to answer>,Yes,No,No,<Decline to answer>,NA,Somewhat distrust,Trust completely,Strongly distrust,Trust somewhat,NA,Trust completely,Unsure,Unsure,Very likely,Somewhat likely,Somewhat unlikely,<Decline to answer>,NA,NA,No,<Decline to answer>,<Not applicable>,No,<Not applicable>,<Decline to answer>,<Decline to answer>,NA,<Decline to answer>,Yes,Yes,NA,1.684604692358175,Male,Asian/PI,<Missing>,55-64,Hispanic/Latino,<Missing>,Rented/Other,English only
DRS2329,Online,Spanish,077,2,No,Yes,No,<Decline to answer>,No,<Decline to answer>,20,<I don't know>,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,<I Dont know why the Delta is important>,<I Dont know why the Delta is important>,No,Yes,No,Yes,Yes,Yes,<Decline to answer>,No,No,No,No,No,<Decline to answer>,Yes,Yes,No,No,<Decline to answer>,<Decline to answer>,No,<Decline to answer>,Yes,<Decline to answer>,No,No,Yes,<Decline to answer>,Yes,Yes,Yes,<Decline to answer>,No,No,Please specify individual or organization name:,Very satisfied,Yes,Yes,No,No,Yes,<Decline to answer>,No,Yes,Not at all concerned,Moderately concerned,Very concerned,Somewhat concerned,Very concerned,Somewhat concerned,<Unsure>,<Decline to answer>,<I don't know>,<Decline to answer>,No,No,No,<Decline to answer>,Yes,<Decline to answer>,<Decline to answer>,<Decline to answer>,No,No,<Decline to answer>,Strongly agree,<Decline to answer>,"No, I have not personally experienced drought impacts",<I don't know>,Doing too much,Doing the right amount,<Decline to answer>,<Decline to answer>,Yes,No,<Decline to answer>,No,<Decline to answer>,Yes,No,Yes,No,<Decline to answer>,Yes,<Decline to answer>,Yes,<Decline to answer>,None of the above,No,<Decline to answer>,Somewhat distrust,Strongly distrust,Trust only a little,Trust completely,Somewhat distrust,Unsure,Somewhat unlikely,Unsure,NA,Somewhat unlikely,<Not applicable>,<Decline to answer>,Unsure,<Not applicable>,<Decline to answer>,NA,No,<Not applicable>,<Not applicable>,No,Yes,<Decline to answer>,Yes,NA,Yes,0.1362273502940958,Male,White,>150K,55-64,<Missing>,>BA/BS,NA,English only
DRS2330,Online,Spanish,077,1,Yes,No,Yes,<Decline to answer>,No,Yes,81,Urban,Yes,No,No,No,No,Yes,No,No,No,Yes,No,<I Dont know why the Delta is important>,No,<I Dont know why the Delta is important>,<I Dont know why the Delta is important>,No,<Decline to answer>,Yes,Yes,<Decline to answer>,No,No,No,<Decline to answer>,Yes,No,<Decline to answer>,No,<Decline to answer>,<Decline to answer>,Yes,<Decline to answer>,<Decline to answer>,<Decline to answer>,Yes,No,Yes,<Decline to answer>,No,No,No,No,No,No,No,<I don't know>,<Decline to answer>,<Decline to answer>,No,Yes,No,<Decline to answer>,No,Yes,Yes,Very concerned,Moderately concerned,<Decline to answer>,<Unsure>,Somewhat concerned,<Unsure>,Not at all concerned,No,Mostly due to climate change,None of the above because climate change isn't happening,<Decline to answer>,Yes,No,<Decline to answer>,Yes,No,Yes,<Decline to answer>,Yes,<Decline to answer>,Yes. Please specify:,Strongly disagree,<Decline to answer>,<I don't know>,Not doing enough,<I don't know>,Doing too much,No,<Decline to answer>,Yes,Yes,Yes,No,Yes,No,<Decline to answer>,No,Yes,<Decline to answer>,No,<Decline to answer>,Yes,Yes,NA,Yes,Trust only a little,Trust completely,NA,<Decline to answer>,Trust somewhat,Trust completely,Somewhat unlikely,Somewhat likely,Very likely,Very likely,NA,Somewhat unlikely,Somewhat likely,<Decline to answer>,Yes,Yes,NA,NA,NA,NA,Yes,<Not applicable>,Yes,No,Yes,<Not applicable>,0.3786292570262357,<Missing>,<Missing>,<Missing>,45-54,Hispanic/Latino,>BA/BS,Rented/Other,NA
DRS2331,Mail,English,077,1,Yes,Yes,Yes,<Decline to answer>,No,Yes,45,Suburban,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,<I Dont know why the Delta is important>,Yes,Yes,<I Dont know why the Delta is important>,<I Dont know why the Delta is important>,Yes,Yes,Yes,<Decline to answer>,Yes,Yes,No,Yes,Yes,No,Yes,No,<Decline to answer>,No,No,No,No,No,No,No,Yes,Yes,<Decline to answer>,No,No,No,<Decline to answer>,<Decline to answer>,Yes,Yes,Please specify individual or organization name:,Very dissatisfied,<Decline to answer>,No,<Decline to answer>,No,Yes,No,<Decline to answer>,No,Somewhat concerned,Not at all concerned,Not at all concerned,<Decline to answer>,Somewhat concerned,<Decline to answer>,Somewhat concerned,No,Not at all due to climate change,mostly by human activities,No,Yes,No,Yes,No,Yes,No,<Decline to answer>,No,Yes,Yes. Please specify:,<I don't know>,<I don't know>,<Decline to answer>,<Decline to answer>,Doing the right amount,Doing the right amount,Yes,Yes,<Decline to answer>,<Decline to answer>,No,Yes,Yes,<Decline to answer>,Yes,<Decline to answer>,Yes,No,No,Yes,No,No,Very Liberal,Yes,Somewhat distrust,Trust completely,Somewhat distrust,Trust somewhat,<Not applicable>,Somewhat distrust,Somewhat likely,Somewhat likely,Somewhat likely,Very likely,<Not applicable>,<Not applicable>,<Decline to answer>,Unsure,<Decline to answer>,<Decline to answer>,Yes,NA,<Decline to answer>,Yes,No,<Decline to answer>,<Not applicable>,Yes,<Decline to answer>,NA,5.016031396424475,Female,White,<25K,35-44,Hispanic/Latino,<BA/BS,NA,Other lang
DRS2332,Mail,English,077,1,No,<Decline to answer>,No,No,No,<Decline to answer>,73,Urban,Yes,No,Yes,Yes,Yes,Yes,No,No,No,<I Dont know why the Delta is important>,<I Dont know why the Delta is important>,Yes,No,No,No,<Decline to answer>,<Decline to answer>,No,Yes,<Decline to answer>,<Decline to answer>,<Decline to answer>,Yes,<Decline to answer>,Yes,No,Yes,<Decline to answer>,No,<Decline to answer>,No,Yes,No,Yes,<Decline to answer>,<Decline to answer>,No,Yes,Yes,No,No,No,Yes,Yes,No,<Decline to answer>,Very dissatisfied,Yes,No,Yes,No,No,Yes,<Decline to answer>,<Decline to answer>,Not at all concerned,Moderately concerned,<Unsure>,Somewhat concerned,Very concerned,Very concerned,Moderately concerned,No,Mostly due to climate change,mostly by natural changes in the environment,<Decline to answer>,No,<Decline to answer>,<Decline to answer>,No,<Decline to answer>,No,Yes,No,Yes,Yes. Please specify:,<Decline to answer>,<I don't know>,"No, I have not personally experienced drought impacts",<I don't know>,Doing the right amount,Doing the right amount,No,<Decline to answer>,<Decline to answer>,<Decline to answer>,<Decline to answer>,<Decline to answer>,<Decline to answer>,Yes,<Decline to answer>,<Decline to answer>,<Decline to answer>,No,Yes,<Decline to answer>,<Decline to answer>,Yes,Moderate,No,NA,Trust only a little,Strongly distrust,Trust completely,<Decline to answer>,Trust only a little,<Decline to answer>,NA,Somewhat likely,<Not applicable>,Very likely,NA,Somewhat unlikely,Very unlikely,<Not applicable>,<Decline to answer>,NA,NA,<Decline to answer>,<Not applicable>,No,<Decline to answer>,NA,No,NA,No,0.23325408607748757,Female,<Missing>,50K - <75K,45-54,Hispanic/Latino,BA/BS,Owned by you or someone else living there,English only
DRS2333,Online,Spanish,077,3,No,No,Yes,<Decline to answer>,Yes,Yes,70,Historic or Delta “legacy” town,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,<I Dont know why the Delta is important>,No,No,No,No,No,Yes,No,Yes,<Decline to answer>,<Decline to answer>,Yes,No,Yes,Yes,No,No,<Decline to answer>,No,Yes,No,<Decline to answer>,<Decline to answer>,No,Yes,<Decline to answer>,No,No,No,No,Yes,No,<Decline to answer>,Dissatisfied,Yes,Yes,<Decline to answer>,No,<Decline to answer>,No,Yes,No,Moderately concerned,Somewhat concerned,<Unsure>,Not at all concerned,Very concerned,Moderately concerned,Moderately concerned,Yes. Please specify:,Not at all due to climate change,mostly by natural changes in the environment,Yes,<Decline to answer>,<Decline to answer>,Yes,<Decline to answer>,<Decline to answer>,Yes,Yes,<Decline to answer>,No,Yes. Please specify:,Somewhat disagree,Somewhat disagree,<Decline to answer>,Doing too much,<I don't know>,<I don't know>,<Decline to answer>,<Decline to answer>,Yes,<Decline to answer>,No,<Decline to answer>,<Decline to answer>,<Decline to answer>,Yes,<Decline to answer>,Yes,Yes,<Decline to answer>,No,<Decline to answer>,Yes,Liberal,Yes,<Not applicable>,<Not applicable>,Trust only a little,Trust completely,Trust only a little,<Not applicable>,Very unlikely,Somewhat likely,Very unlikely,Very unlikely,NA,Somewhat likely,Very unlikely,NA,Yes,<Decline to answer>,No,Yes,<Not applicable>,No,<Not applicable>,<Not applicable>,<Decline to answer>,No,<Not applicable>,<Not applicable>,0.34267866270424036,Male,Other and mixed,50K - <75K,25-34,Not Hispanic/Latino,>BA/BS,NA,English only
DRS2334,Mail,English,067,3,<Decline to answer>,No,No,Yes,<Decline to answer>,<Decline to answer>,48,<I don't know>,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,<I Dont know why the Delta is important>,Yes,No,<Decline to answer>,<Decline to answer>,Yes,No,No,<Decline to answer>,<Decline to answer>,<Decline to answer>,No,No,Yes,<Decline to answer>,<Decline to answer>,Yes,<Decline to answer>,<Decline to answer>,<Decline to answer>,No,<Decline to answer>,Yes,<Decline to answer>,Yes,No,<Decline to answer>,No,Yes,No,Yes,No,Yes,<I don't know>,Neutral,No,No,<Decline to answer>,<Decline to answer>,<Decline to answer>,Yes,<Decline to answer>,<Decline to answer>,<Decline to answer>,<Decline to answer>,Very concerned,Not at all concerned,<Unsure>,Very concerned,<Decline to answer>,No,Mostly due to climate change,by both human activities and natural changes in the environment,<Decline to answer>,No,Yes,Yes,No,No,No,No,No,Yes,<Decline to answer>,Strongly disagree,<I don't know>,"No, I have not personally experienced drought impacts",<Decline to answer>,Doing too much,<Decline to answer>,Yes,<Decline to answer>,<Decline to answer>,No,No,<Decline to answer>,Yes,No,Yes,No,Yes,<Decline to answer>,<Decline to answer>,<Decline to answer>,Yes,<Decline to answer>,None of the above,NA,Trust only a little,Strongly distrust,Trust somewhat,Trust only a little,Trust completely,Strongly distrust,NA,<Decline to answer>,<Not applicable>,Unsure,<Not applicable>,Somewhat likely,Very unlikely,Somewhat unlikely,Yes,No,Yes,NA,NA,Yes,<Decline to answer>,<Decline to answer>,<Not applicable>,NA,No,<Not applicable>,1.3315886512047799,<Missing>,White,<25K,35-44,Hispanic/Latino,>BA/BS,NA,NA
DRS2335,Online,English,077,2,No,Yes,<Decline to answer>,No,<Decline to answer>,<Decline to answer>,59,Suburban,No,No,No,Yes,Yes,Yes,No,No,No,No,<I Dont know why the Delta is important>,No,<I Dont know why the Delta is important>,<I Dont know why the Delta is important>,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,<Decline to answer>,No,<Decline to answer>,<Decline to answer>,<Decline to answer>,Yes,Yes,<Decline to answer>,<Decline to answer>,No,Yes,<Decline to answer>,<Decline to answer>,<Decline to answer>,<Decline to answer>,Yes,Yes,Yes,No,Yes,Yes,No one advocates for my interests in the Delta,Satisfied,Yes,Yes,Yes,<Decline to answer>,<Decline to answer>,Yes,Yes,No,Moderately concerned,Somewhat concerned,<Decline to answer>,Moderately concerned,Not at all concerned,Somewhat concerned,Not at all concerned,Yes. Please specify:,Mostly due to other factors,<Decline to answer>,Yes,No,No,<Decline to answer>,<Decline to answer>,No,Yes,<Decline to answer>,No,No,Yes. Please specify:,<Decline to answer>,<I don't know>,<I don't know>,<I don't know>,<Decline to answer>,Doing the right amount,No,No,No,Yes,Yes,<Decline to answer>,Yes,Yes,No,<Decline to answer>,<Decline to answer>,No,<Decline to answer>,Yes,Yes,<Decline to answer>,Liberal,No,NA,Trust somewhat,Strongly distrust,Strongly distrust,Somewhat distrust,Somewhat distrust,Somewhat unlikely,<Decline to answer>,<Not applicable>,Somewhat likely,NA,<Not applicable>,Very likely,Somewhat unlikely,<Not applicable>,NA,No,<Decline to answer>,NA,Yes,NA,No,NA,<Decline to answer>,No,<Decline to answer>,0.9697722163566506,<Missing>,White,<Missing>,18-24,Hispanic/Latino,<Missing>,Owned by you or someone else living there,Other lang
DRS2336,Online,Spanish,095,1,<Decline to answer>,No,<Decline to answer>,<Decline to answer>,No,No,67,<I don't know>,Yes,Yes,Yes,No,No,Yes,Yes,No,No,<I Dont know why the Delta is important>,Yes,<I Dont know why the Delta is important>,Yes,<I Dont know why the Delta is important>,Yes,No,Yes,Yes,No,<Decline to answer>,Yes,Yes,<Decline to answer>,<Decline to answer>,Yes,Yes,Yes,Yes,<Decline to answer>,No,Yes,<Decline to answer>,No,No,<Decline to answer>,Yes,No,<Decline to answer>,<Decline to answer>,Yes,<Decline to answer>,No,<Decline to answer>,Yes,No,Please specify individual or organization name:,Very dissatisfied,Yes,Yes,No,No,No,<Decline to answer>,<Decline to answer>,<Decline to answer>,<Decline to answer>,Very concerned,Very concerned,Very concerned,<Unsure>,<Unsure>,Very concerned,No,Mostly due to climate change,None of the above because climate change isn't happening,No,Yes,Yes,No,Yes,<Decline to answer>,<Decline to answer>,Yes,<Decline to answer>,Yes,<Decline to answer>,<Decline to answer>,Somewhat disagree,"Yes, I have personally experienced drought impacts. Please specify:",<I don't know>,Not doing enough,Doing the right amount,<Decline to answer>,No,<Decline to answer>,Yes,Yes,Yes,Yes,No,Yes,<Decline to answer>,<Decline to answer>,<Decline to answer>,<Decline to answer>,<Decline to answer>,No,<Decline to answer>,Very conservative,Yes,Trust completely,Strongly distrust,<Not applicable>,Somewhat distrust,Trust completely,Strongly distrust,<Decline to answer>,Very unlikely,Very unlikely,<Not applicable>,Somewhat likely,Unsure,NA,Somewhat likely,Yes,Yes,Yes,No,No,<Decline to answer>,No,<Not applicable>,<Not applicable>,NA,No,NA,0.31281735101963526,Female,Other and mixed,25K - <50K,35-44,Hispanic/Latino,BA/BS,NA,Other lang
DRS2337,Mail,Spanish,077,3,Yes,No,<Decline to answer>,No,No,<Decline to answer>,25,Suburban,No,No,No,No,Yes,No,Yes,No,No,<I Dont know why the Delta is important>,No,Yes,Yes,No,No,Yes,<Decline to answer>,<Decline to answer>,Yes,No,No,Yes,Yes,<Decline to answer>,<Decline to answer>,Yes,Yes,<Decline to answer>,Yes,Yes,Yes,<Decline to answer>,Yes,<Decline to answer>,No,<Decline to answer>,No,<Decline to answer>,<Decline to answer>,Yes,No,Yes,<Decline to answer>,No,Yes,<Decline to answer>,Very satisfied,Yes,No,<Decline to answer>,<Decline to answer>,No,No,No,Yes,Somewhat concerned,Very concerned,Not at all concerned,Not at all concerned,<Unsure>,Not at all concerned,Somewhat concerned,<Decline to answer>,Mostly due to other factors,mostly by natural changes in the environment,<Decline to answer>,<Decline to answer>,Yes,<Decline to answer>,<Decline to answer>,<Decline to answer>,<Decline to answer>,<Decline to answer>,No,Yes,No,Somewhat agree,Strongly disagree,"No, I have not personally experienced drought impacts",<Decline to answer>,Doing too much,Doing the right amount,Yes,<Decline to answer>,Yes,<Decline to answer>,No,No,No,No,<Decline to answer>,Yes,No,Yes,No,<Decline to answer>,<Decline to answer>,No,None of the above,No,Trust only a little,Trust somewhat,Somewhat distrust,NA,Strongly distrust,Strongly distrust,Very likely,<Not applicable>,Somewhat unlikely,Very likely,Somewhat unlikely,Somewhat unlikely,Somewhat likely,Unsure,Yes,Yes,<Decline to answer>,No,Yes,Yes,<Not applicable>,<Decline to answer>,No,<Not applicable>,<Decline to answer>,No,0.21899630703742193,Female,Asian/PI,25K - <50K,18-24,Not Hispanic/Latino,BA/BS,NA,English only
DRS2338,Online,Spanish,077,1,No,<Decline to answer>,Yes,No,No,Yes,6,<I don't know>,No,Yes,No,No,No,Yes,Yes,No,Yes,<I Dont know why the Delta is important>,No,Yes,Yes,No,<I Dont know why the Delta is important>,No,Yes,Yes,Yes,<Decline to answer>,Yes,Yes,<Decline to answer>,<Decline to answer>,No,<Decline to answer>,Yes,<Decline to answer>,<Decline to answer>,Yes,<Decline to answer>,<Decline to answer>,Yes,<Decline to answer>,<Decline to answer>,<Decline to answer>,Yes,No,Yes,No,<Decline to answer>,<Decline to answer>,Yes,<Decline to answer>,<Decline to answer>,<I don't know>,Very satisfied,Yes,Yes,Yes,Yes,<Decline to answer>,<Decline to answer>,No,No,Not at all concerned,Very concerned,Not at all concerned,Moderately concerned,<Unsure>,Not at all concerned,Very concerned,<Decline to answer>,Mostly due to climate change,<Decline to answer>,<Decline to answer>,<Decline to answer>,Yes,<Decline to answer>,Yes,No,Yes,<Decline to answer>,No,No,Yes. Please specify:,Somewhat agree,Strongly disagree,<Decline to answer>,Doing too much,<Decline to answer>,<I don't know>,No,Yes,No,<Decline to answer>,<Decline to answer>,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Very Liberal,Yes,Strongly distrust,Somewhat distrust,Somewhat distrust,Somewhat distrust,Strongly distrust,Trust somewhat,<Not applicable>,Somewhat likely,Very likely,Somewhat unlikely,<Not applicable>,Unsure,NA,Somewhat unlikely,Yes,<Not applicable>,NA,NA,<Not applicable>,NA,Yes,<Not applicable>,NA,<Not applicable>,No,No,2.4549599228117205,<Missing>,Other and mixed,75K - <100K,55-64,Hispanic/Latino,>BA/BS,<Decline to answer>,English only
DRS2339,Mail,English,067,2,Yes,No,No,Yes,<Decline to answer>,No,15,Urban,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,<I Dont know why the Delta is important>,Yes,No,No,No,No,<Decline to answer>,No,<Decline to answer>,<Decline to answer>,<Decline to answer>,<Decline to answer>,Yes,No,Yes,No,<Decline to answer>,Yes,<Decline to answer>,<Decline to answer>,No,Yes,<Decline to answer>,Yes,No,Yes,No,No,Yes,<Decline to answer>,<Decline to answer>,Yes,<Decline to answer>,No,<Decline to answer>,<Decline to answer>,Satisfied,Yes,No,<Decline to answer>,Yes,<Decline to answer>,<Decline to answer>,<Decline to answer>,<Decline to answer>,Very concerned,Moderately concerned,<Decline to answer>,Moderately concerned,Very concerned,Very concerned,Very concerned,No,<Decline to answer>,<Decline to answer>,No,<Decline to answer>,No,Yes,<Decline to answer>,Yes,No,Yes,Yes,No,Yes. Please specify:,Somewhat agree,Strongly disagree,<I don't know>,<I don't know>,<I don't know>,<I don't know>,Yes,Yes,No,Yes,<Decline to answer>,<Decline to answer>,No,No,Yes,No,<Decline to answer>,No,No,<Decline to answer>,<Decline to answer>,Yes,Conservative,No,NA,Trust completely,Strongly distrust,Strongly distrust,Trust somewhat,<Not applicable>,Very unlikely,Somewhat unlikely,<Not applicable>,<Decline to answer>,<Decline to answer>,<Not applicable>,<Decline to answer>,<Not applicable>,Yes,NA,Yes,<Not applicable>,<Not applicable>,Yes,<Not applicable>,<Not applicable>,No,Yes,<Not applicable>,No,0.13585400473953985,Male,Black,100K - <150K,25-34,Hispanic/Latino,>BA/BS,Owned by you or someone else living there,NA
